trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.03, 'e': 0.9607894391523232}",25,0,-274.6785091948238,"{0: 9, 1: 3, 2: 7, 3: 2, 4: 4}",0
2,False,"{'a': 0.03, 'e': 0.9231163463866358}",30,0,-264.7788973777814,"{0: 10, 1: 7, 2: 8, 3: 2, 4: 3}",0
3,False,"{'a': 0.03, 'e': 0.8869204367171575}",20,0,-56.93568048493319,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.03, 'e': 0.8521437889662113}",20,8,-17.60728175552689,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
5,False,"{'a': 0.03, 'e': 0.8187307530779818}",30,0,-117.91187006331997,"{0: 16, 1: 8, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.03, 'e': 0.7866278610665535}",20,0,-153.08646636150436,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.03, 'e': 0.7557837414557255}",25,5,-18.759181102999346,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.03, 'e': 0.7261490370736909}",20,0,-52.94980509273087,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.03, 'e': 0.697676326071031}",25,0,-123.19334043857661,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",1
10,False,"{'a': 0.03, 'e': 0.6703200460356393}",20,0,-140.06185788926064,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.03, 'e': 0.6440364210831414}",20,0,-69.93792750813371,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.03, 'e': 0.6187833918061408}",25,0,-26.048048221166134,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.03, 'e': 0.5945205479701944}",25,15,-24.888162622698832,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.03, 'e': 0.5712090638488149}",20,11,-45.701645421733765,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.03, 'e': 0.5488116360940265}",20,4,-8.360705991946393,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.03, 'e': 0.5272924240430485}",30,0,-189.7247330077731,"{0: 16, 1: 1, 2: 9, 3: 2, 4: 2}",0
17,False,"{'a': 0.03, 'e': 0.5066169923655897}",25,2,-52.319786889776786,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 0}",1
18,False,"{'a': 0.03, 'e': 0.4867522559599717}",20,0,-29.39015251455989,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.03, 'e': 0.46766642700990924}",25,0,18.803642079486156,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.03, 'e': 0.44932896411722156}",20,0,-28.841663235802386,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
21,False,"{'a': 0.03, 'e': 0.43171052342907973}",20,0,13.584487170443671,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.03, 'e': 0.4147829116815814}",20,12,10.011209920614782,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.03, 'e': 0.3985190410845142}",25,0,-87.73041302307556,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
24,False,"{'a': 0.03, 'e': 0.38289288597511206}",20,0,-84.08819860033621,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.03, 'e': 0.36787944117144233}",20,0,-12.805118447893726,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
26,False,"{'a': 0.03, 'e': 0.35345468195878016}",20,7,-34.718243353441736,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.03, 'e': 0.33959552564493917}",20,10,6.748353817360382,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.03, 'e': 0.32627979462303947}",20,9,-23.03013552707953,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.03, 'e': 0.3134861808826053}",25,18,0.5433355337795915,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.03, 'e': 0.30119421191220214}",20,0,-9.853353717993597,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.03, 'e': 0.28938421793905067}",20,12,-27.366837033853294,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.03, 'e': 0.27803730045319414}",25,0,-48.17917289413699,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
