trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1}",20,0,-96.7133468942055,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0}",25,0,-168.82408298133353,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0}",20,0,-233.49099170557227,"{0: 8, 1: 4, 2: 2, 3: 2, 4: 4}",0
4,False,"{'a': 0.01, 'e': 0}",20,0,-102.27509972228815,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0}",20,0,-104.33738098276649,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0}",20,0,-97.7453692174693,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0}",25,0,-132.63835210598504,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0}",30,0,-89.835515343858,"{0: 20, 1: 6, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0}",20,0,-149.65799712599267,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0}",25,0,-164.53273251950725,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0}",20,0,-70.18989209837899,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0}",20,0,-85.24382665706604,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0}",20,0,-87.53321818305785,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0}",25,0,-232.09170140916328,"{0: 11, 1: 6, 2: 3, 3: 1, 4: 4}",0
15,False,"{'a': 0.01, 'e': 0}",25,11,-69.03610092809993,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0}",25,0,-148.80626320976424,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0}",25,0,-45.93408472711878,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0}",25,0,-200.06841860374007,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
19,False,"{'a': 0.01, 'e': 0}",30,0,-268.6310123175227,"{0: 13, 1: 4, 2: 7, 3: 2, 4: 4}",0
20,False,"{'a': 0.01, 'e': 0}",25,0,-268.9771876343312,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 5}",0
1,True,"{'a': 0.01, 'e': 0}",20,0,-114.34485176590744,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,True,"{'a': 0.01, 'e': 0}",20,0,-117.35378809693391,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.01, 'e': 0}",25,12,-16.25997986287075,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0.01, 'e': 0}",25,0,-180.3786826502964,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
5,True,"{'a': 0.01, 'e': 0}",25,0,-74.27403330824265,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
6,True,"{'a': 0.01, 'e': 0}",25,0,-118.33411127902419,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
7,True,"{'a': 0.01, 'e': 0}",20,0,-63.839120108216,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.01, 'e': 0}",25,0,-163.70262663088232,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.01, 'e': 0}",35,1,-140.22607056547668,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 1}",1
10,True,"{'a': 0.01, 'e': 0}",30,0,-158.3929131913642,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
11,True,"{'a': 0.01, 'e': 0}",20,0,-82.8799854801625,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
12,True,"{'a': 0.01, 'e': 0}",20,0,-62.90326298835226,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,True,"{'a': 0.01, 'e': 0}",30,0,-157.452137588688,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
14,True,"{'a': 0.01, 'e': 0}",20,0,-89.73651734454518,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
15,True,"{'a': 0.01, 'e': 0}",20,5,-32.356785838191044,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
16,True,"{'a': 0.01, 'e': 0}",20,0,-139.4158641463254,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
17,True,"{'a': 0.01, 'e': 0}",20,0,-108.9071733739787,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
18,True,"{'a': 0.01, 'e': 0}",25,0,-151.63134264416195,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
19,True,"{'a': 0.01, 'e': 0}",30,0,-142.01203535579137,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
20,True,"{'a': 0.01, 'e': 0}",30,0,-191.65399786777684,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
