trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.34582789086966,"{0: 6, 1: 0, 2: 13, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-234.76054392971838,"{0: 10, 1: 0, 2: 12, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.3374921104572,"{0: 8, 1: 0, 2: 16, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.07637242890439,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.15406528410932,"{0: 7, 1: 0, 2: 11, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-382.1861517103411,"{0: 9, 1: 0, 2: 15, 3: 0, 4: 6}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-263.7928160720102,"{0: 7, 1: 0, 2: 15, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.50088500202526,"{0: 9, 1: 0, 2: 14, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.20794035301208,"{0: 11, 1: 0, 2: 14, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.41715599384065,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-290.2316255738982,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-224.5043127449288,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-248.04222095253695,"{0: 15, 1: 0, 2: 18, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-208.3301838750661,"{0: 7, 1: 0, 2: 10, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-222.79001160055145,"{0: 11, 1: 0, 2: 11, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-246.96280636652259,"{0: 4, 1: 0, 2: 13, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-226.2361889216295,"{0: 13, 1: 0, 2: 15, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,11,-101.54802773160388,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.70073977450397,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-270.0363435634685,"{0: 13, 1: 0, 2: 13, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.4683166862244,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-297.7465729343243,"{0: 9, 1: 0, 2: 11, 3: 0, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-258.57624598206644,"{0: 16, 1: 0, 2: 16, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-259.634806164418,"{0: 10, 1: 0, 2: 11, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.07908947676364,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-201.12576883660873,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-203.82682189645408,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-337.87760674260295,"{0: 11, 1: 0, 2: 14, 3: 0, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.4316708829725,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-203.0235118826697,"{0: 12, 1: 0, 2: 17, 3: 0, 4: 1}",0
